Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1744818190.291832,225201,0,1
2,Q2,1744818190.572743,37525,0,1
3,Q3,1744818190.728999,51353,0,1
4,Q4,1744818190.800897,19609,0,1
5,Q5,1744818190.861828,37884,0,1
6,Q6,1744818190.934019,32509,0,1
7,Q7,1744818191.011897,37464,0,1
8,Q8,1744818191.142995,89231,0,1
9,Q9,1744818191.318963,86509,0,1
10,Q10,1744818191.448685,36455,0,1
11,Q11,1744818191.497183,8895,0,1
12,Q12,1744818191.558512,49881,0,1
13,Q13,1744818191.683098,75216,0,1
14,Q14,1744818191.772283,13879,0,1
15,Q15,1744818191.834980,39227,0,1
16,Q16,1744818191.910696,34290,0,1
17,Q17,1744818192.019756,70493,0,1
18,Q18,1744818192.253417,161752,0,1
19,Q19,1744818192.422560,5911,0,1
20,Q20,1744818192.453703,18266,0,1
21,Q21,1744818192.519193,45729,0,1
22,Q22,1744818192.577995,11522,0,1
